date,company_name,organization_type,brand,category,department,customer_name,designation,country_of_origin,customer_email_id,whatsapp_number,phone_number,website,payment_term,fabric_reference,mailing_address,visiting_address,linkedin_profile,remarks,concern_fe_rep
2024-04-25,"Brown, Aguilar and Cochran",Exporter,PLC,Fashion,Export,Anita Shaw,Executive,Guinea,whitney72@example.net,7537601618,001-703-483-9906x7194,http://rogers.com/,Net 30,"Best, Citizen","0404 Pacheco Springs Suite 468, Lake Jasonberg, DC 41697","016 Garrison Spur, Port Amandabury, WY 63777",https://martinez.com/,Bulk buyer,Brenda Jenkins
2024-10-10,Massey-Ward,Retailer,and Sons,Textile,Design,Anthony Jenkins,Manager,Hungary,heather77@example.org,4607678595,(384)857-9458x6011,http://www.hobbs.com/,Advance,"After, Involve","PSC 7546, Box 9343, APO AE 10980","243 Cassandra Summit, Lake Krystal, NJ 79604",https://hinton.com/,Prefers organic,Vincent Goodwin
2022-09-12,Garcia Ltd,Exporter,and Sons,Textile,Design,Sue Foster,Manager,Cyprus,stephenlove@example.net,828-229-1005,001-208-993-9886,http://mcdaniel.info/,Advance,"Hair, Ahead","18807 Adams Route, North Barbaramouth, MS 87449","18835 Daniel Trail Suite 602, Christopherville, KS 25067",https://wallace-wright.biz/,Top customer,Edgar Garcia
2021-10-06,Eaton Ltd,Manufacturer,and Sons,Fashion,Design,Vanessa Roman,Executive,Zambia,harrisbobby@example.net,(208)672-6273,304-407-6737,https://lee.info/,LC at Sight,"Fund, Amount","39298 Cassandra Canyon, East Mindyport, WY 38456","963 Andrews Landing Apt. 643, Kimmouth, MP 20807",https://davila.com/,Bulk buyer,Nicole Baker
2021-01-22,Freeman-Harrison,Retailer,Group,Apparel,Sales,Christopher Smith,Executive,Puerto Rico,holtjesse@example.net,958-772-3923,871-958-2503,https://www.lloyd.com/,Net 30,"Collection, Include","948 Clarke Hills, New Stefanieville, HI 29651","PSC 5918, Box 4512, APO AA 11199",http://www.booth-murray.com/,Bulk buyer,Jennifer Foster
2024-02-07,Hernandez-Aguirre,Exporter,and Sons,Textile,Design,George Villanueva,Director,Papua New Guinea,lloydjohn@example.org,641-678-7453x48983,(554)853-7849,http://lewis.net/,Advance,"Attorney, Three","45266 Wheeler Lane Apt. 539, Changfort, NM 43996","8668 Maynard Canyon Apt. 902, Teresabury, SC 26918",https://harmon.com/,Bulk buyer,Tammy Shepard
2023-12-28,Walker Group,Retailer,and Sons,Fashion,Design,Gary Crane,Executive,Sri Lanka,clane@example.com,358-766-6891,4475244232,http://weaver.biz/,LC at Sight,"Former, Million","1419 Kidd Keys, West Alanhaven, CA 64162","Unit 0227 Box 6403, DPO AE 77972",https://www.strong.com/,Bulk buyer,Maria Smith
2022-11-07,Murray-Yang,Wholesaler,Group,Accessories,Export,Michael Hoffman,Lead,Gabon,bonniemorgan@example.com,347.786.4763x73858,+1-734-953-7896x41286,http://www.henderson-taylor.com/,LC at Sight,"Later, Group","066 Terri Mountain Apt. 581, East Thomasmouth, ME 11469","506 Olsen Lake, Roberthaven, TN 25036",https://monroe-reed.com/,Fast payment,Gary Anderson
2023-10-07,York Group,Manufacturer,Group,Fashion,Sales,Mrs. Olivia Walton,Lead,Nauru,underwoodashley@example.com,465-629-1301x34068,+1-959-721-4286x063,http://walker.biz/,Advance,"Move, Edge","959 Joyce River Apt. 232, East Brian, PR 27744","76885 Terrell Stream Suite 894, Petersonburgh, SD 76920",http://www.bird-ibarra.com/,Bulk buyer,Mary Jackson
2022-12-09,Knapp-Johnson,Wholesaler,and Sons,Fashion,Procurement,Debra Ortiz,Executive,Namibia,greenmichael@example.org,6596929484,9186644362,https://tyler.info/,Net 30,"Top, Half","951 Maria Valley Apt. 922, Port Tyler, MS 23377","Unit 3984 Box 9455, DPO AP 72739",http://conner.biz/,Prefers organic,Shannon Murphy
